"filename", "language", "Markdown", "C++", "YAML", "XML", "CMake", "Python", "Log", "comment", "blank", "total"
"/home/xizesse/ros_ws/src/avoa3d/CMakeLists.txt", "CMake", 0, 0, 0, 0, 134, 0, 0, 0, 21, 155
"/home/xizesse/ros_ws/src/avoa3d/README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/xizesse/ros_ws/src/avoa3d/config/PlotJugglerLayout.xml", "XML", 0, 0, 0, 102, 0, 0, 0, 5, 2, 109
"/home/xizesse/ros_ws/src/avoa3d/config/bridge_config.yaml", "YAML", 0, 0, 24, 0, 0, 0, 0, 4, 7, 35
"/home/xizesse/ros_ws/src/avoa3d/config/default_params.yaml", "YAML", 0, 0, 21, 0, 0, 0, 0, 12, 11, 44
"/home/xizesse/ros_ws/src/avoa3d/config/diff_drive_params.yaml", "YAML", 0, 0, 22, 0, 0, 0, 0, 11, 10, 43
"/home/xizesse/ros_ws/src/avoa3d/config/holonomic_params.yaml", "YAML", 0, 0, 21, 0, 0, 0, 0, 11, 8, 40
"/home/xizesse/ros_ws/src/avoa3d/config/nest_bridge_config.yaml", "YAML", 0, 0, 6, 0, 0, 0, 0, 23, 7, 36
"/home/xizesse/ros_ws/src/avoa3d/config/nest_params.yaml", "YAML", 0, 0, 32, 0, 0, 0, 0, 11, 12, 55
"/home/xizesse/ros_ws/src/avoa3d/include/avoa3d/motion_params.hpp", "C++", 0, 28, 0, 0, 0, 0, 0, 9, 11, 48
"/home/xizesse/ros_ws/src/avoa3d/include/avoa3d/sample_evaluator.hpp", "C++", 0, 39, 0, 0, 0, 0, 0, 9, 14, 62
"/home/xizesse/ros_ws/src/avoa3d/include/avoa3d/sample_generator.hpp", "C++", 0, 70, 0, 0, 0, 0, 0, 12, 23, 105
"/home/xizesse/ros_ws/src/avoa3d/include/avoa3d/sample_visualizer.hpp", "C++", 0, 23, 0, 0, 0, 0, 0, 1, 8, 32
"/home/xizesse/ros_ws/src/avoa3d/include/avoa3d/velocity_sample.hpp", "C++", 0, 15, 0, 0, 0, 0, 0, 1, 6, 22
"/home/xizesse/ros_ws/src/avoa3d/launch/avoa.launch.py", "Python", 0, 0, 0, 0, 0, 139, 0, 15, 20, 174
"/home/xizesse/ros_ws/src/avoa3d/launch/bridge_launch.xml", "XML", 0, 0, 0, 16, 0, 0, 0, 2, 2, 20
"/home/xizesse/ros_ws/src/avoa3d/launch/diff_drive.launch.py", "Python", 0, 0, 0, 0, 0, 122, 0, 14, 17, 153
"/home/xizesse/ros_ws/src/avoa3d/launch/holonomic.launch.py", "Python", 0, 0, 0, 0, 0, 170, 0, 16, 19, 205
"/home/xizesse/ros_ws/src/avoa3d/log/build_2025-03-24_18-15-52/avoa3d/command.log", "Log", 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"/home/xizesse/ros_ws/src/avoa3d/log/build_2025-03-24_18-15-52/avoa3d/stderr.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/xizesse/ros_ws/src/avoa3d/log/build_2025-03-24_18-15-52/avoa3d/stdout.log", "Log", 0, 0, 0, 0, 0, 0, 333, 0, 1, 334
"/home/xizesse/ros_ws/src/avoa3d/log/build_2025-03-24_18-15-52/avoa3d/stdout_stderr.log", "Log", 0, 0, 0, 0, 0, 0, 333, 0, 1, 334
"/home/xizesse/ros_ws/src/avoa3d/log/build_2025-03-24_18-15-52/avoa3d/streams.log", "Log", 0, 0, 0, 0, 0, 0, 339, 0, 1, 340
"/home/xizesse/ros_ws/src/avoa3d/log/build_2025-03-24_18-15-52/events.log", "Log", 0, 0, 0, 0, 0, 0, 547, 0, 1, 548
"/home/xizesse/ros_ws/src/avoa3d/log/build_2025-03-24_18-15-52/logger_all.log", "Log", 0, 0, 0, 0, 0, 0, 122, 0, 1, 123
"/home/xizesse/ros_ws/src/avoa3d/log/build_2025-03-24_18-16-31/avoa3d/command.log", "Log", 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"/home/xizesse/ros_ws/src/avoa3d/log/build_2025-03-24_18-16-31/avoa3d/stderr.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/xizesse/ros_ws/src/avoa3d/log/build_2025-03-24_18-16-31/avoa3d/stdout.log", "Log", 0, 0, 0, 0, 0, 0, 181, 0, 1, 182
"/home/xizesse/ros_ws/src/avoa3d/log/build_2025-03-24_18-16-31/avoa3d/stdout_stderr.log", "Log", 0, 0, 0, 0, 0, 0, 181, 0, 1, 182
"/home/xizesse/ros_ws/src/avoa3d/log/build_2025-03-24_18-16-31/avoa3d/streams.log", "Log", 0, 0, 0, 0, 0, 0, 185, 0, 1, 186
